Year,Month,Consumption
2019,January,3139713.0146304
2019,February,2703673.1384313004
2019,March,2931916.5420709
2019,April,2643146.8979175976
2019,May,3015223.5999198365
2019,June,3130085.0447655004
2019,July,3269603.1668518027
2019,August,3287910.073762063
2019,September,2865819.915083301
2019,October,2831559.572127066
2019,November,2694935.8932233877
2019,December,2820949.898488903
2020,January,2871406.752726303
2020,February,2701811.023455
2020,March,2716992.0945240012
2020,April,2571293.921348001
2020,May,2955386.400129001
2020,June,3084289.451901001
2020,July,3271542.551062001
2020,August,3106422.0470210025
2020,September,2664678.2968530008
2020,October,2661744.994483002
2020,November,2662331.990051001
2020,December,2628654.0016690046
