Year,Month,Market Type,YoY Consumption Change
2020,January,Commercial,-8.76
2020,January,Large,-6.46
2020,January,Residential,-11.39
2020,February,Commercial,-1.22
2020,February,Large,1.29
2020,February,Residential,-1.56
2020,March,Commercial,-10.82
2020,March,Large,-6.24
2020,March,Residential,-6.90
2020,April,Commercial,-18.26
2020,April,Large,-10.39
2020,April,Residential,18.76
2020,May,Commercial,-15.72
2020,May,Large,-13.30
2020,May,Residential,20.19
2020,June,Commercial,-7.75
2020,June,Large,-8.44
2020,June,Residential,8.87
2020,July,Commercial,-10.23
2020,July,Large,-8.72
2020,July,Residential,14.28
2020,August,Commercial,-21.65
2020,August,Large,-11.84
2020,August,Residential,8.79
2020,September,Commercial,-18.51
2020,September,Large,-9.92
2020,September,Residential,2.50
2020,October,Commercial,-18.12
2020,October,Large,-11.02
2020,October,Residential,9.14
2020,November,Commercial,-5.47
2020,November,Large,-2.33
2020,November,Residential,3.20
2020,December,Commercial,-9.31
2020,December,Large,-4.74
2020,December,Residential,-8.36
